Unique MASCOT (mz),Difference (mz),MASCOT RT (mins)
592.3154,-0.00028330535,4.56045
592.3154,-0.00033262812,7.5203
592.3154,-0.00034491815,6.9601
592.3154,-0.00039955949,5.1352833
592.3154,-0.00042804111,7.5244833
592.3154,-0.00051516924,6.8932167
592.3154,-0.00053841171,5.2836833
592.3154,-0.00055253627,5.3233833
592.3154,-0.00071567592,5.3024833
592.3154,-0.00071990512,4.5123667
592.3154,-0.00074053339,6.8911333
592.3154,-0.00085525466,4.5938833
592.3154,-0.0010232155,5.0077833
592.3154,-0.0010694887,5.7059333
592.3154,-0.0010774046,4.7841333
592.3154,-0.0012283425,5.12065
592.3154,-0.0012759283,7.4094833
592.3154,-0.0013053925,7.8401
592.3154,-0.001313638,5.0098667
592.3154,-0.001449392,4.5458167
592.3154,-0.0016590329,4.7799167
592.3154,-0.0017857622,7.5286667
592.3154,-0.0019241914,7.8672667
592.3154,-0.0019637548,4.1842167
592.3154,-0.0019720034,5.67875
597.6479,0.0019975484,6.3016667
597.6479,0.0018580907,6.06125
597.6479,0.0018442003,6.1741667
597.6479,0.0017182739,6.1407167
597.6479,0.0016866828,5.9901833
597.6479,0.0016506453,6.19715
597.6479,0.0016460331,6.3915333
597.6479,0.0016297806,6.0591667
597.6479,0.0015978248,6.2912167
597.6479,0.0014686892,6.2243333
597.6479,0.0014481542,6.06335
597.6479,0.001390165,6.2995667
597.6479,0.0013802102,6.1009667
597.6479,0.0012428413,6.7008833
597.6479,0.0012015527,6.45425
597.6479,0.0011010589,5.7331
597.6479,0.0010748071,6.49395
597.6479,0.0010448218,6.2452333
597.6479,0.000933419,6.3100167
597.6479,0.00086935888,6.0779833
597.6479,0.00086610105,6.7217833
597.6479,0.00076920588,6.009
597.6479,0.00053930203,6.0340833
597.6479,0.00042372907,6.10305
597.6479,0.00036285083,6.1825167
597.6479,0.00033254233,6.0278167
597.6479,0.00030585911,6.7029667
597.6479,0.00026278756,6.0884333
597.6479,0.00019452795,6.22015
597.6479,9.9745719e-05,6.0110833
597.6479,5.983039e-05,6.0926
597.6479,-2.2125421e-05,6.26195
597.6479,-4.7368797e-05,6.2515
597.6479,-0.00012938704,5.72265
597.6479,-0.00015599305,6.2117833
597.6479,-0.000214605,6.1177333
597.6479,-0.00024602817,6.2326833
597.6479,-0.00054635533,6.19925
597.6479,-0.00067958245,6.0299
597.6479,-0.00078925172,6.70715
597.6479,-0.00079973481,6.23895
597.6479,-0.00082861777,6.10515
597.6479,-0.00088246947,5.3338333
597.6479,-0.001055746,6.0529
597.6479,-0.0011253583,6.1699833
597.6479,-0.0012144264,6.2640333
597.6479,-0.0012410885,6.0508
597.6479,-0.00128167,6.2682167
597.6479,-0.0012828893,6.6695333
597.6479,-0.0013223458,6.38945
597.6479,-0.0013326431,6.0967833
597.6479,-0.0013889667,6.0717
597.6479,-0.0014018242,6.1469833
597.6479,-0.0014061899,6.1281833
597.6479,-0.0014280043,6.1198167
597.6479,-0.0015657106,6.7385
597.6479,-0.0015954749,6.6967
597.6479,-0.0016073301,6.2744833
597.6479,-0.001741568,6.2264167
597.6479,-0.0017829983,6.7259667
597.6479,-0.0018867155,6.25985
597.6479,-0.0018995556,6.0487167
597.6479,-0.0019739191,6.08425
597.6479,-0.0019779982,6.7364167
597.6479,-0.0019952452,6.24105
602.9771,0.0019860219,4.7527333
602.9771,0.0019826858,5.7205667
602.9771,0.001978463,5.8146167
602.9771,0.0019771927,5.4781
602.9771,0.0019333226,5.7038333
602.9771,0.0019196298,4.97225
602.9771,0.0018914393,5.57425
602.9771,0.0018362478,4.7736333
602.9771,0.0017707116,5.2397833
602.9771,0.0017292426,5.6892
602.9771,0.0017118622,5.8626833
602.9771,0.0016786788,5.8773167
602.9771,0.0016771197,5.0161333
602.9771,0.0015955726,5.8229833
602.9771,0.0015864023,5.7142833
602.9771,0.0015382116,5.6683
602.9771,0.0014162454,4.7799167
602.9771,0.0013921402,5.80835
602.9771,0.0013917469,5.2293333
602.9771,0.0013730293,4.9806
602.9771,0.0013692367,5.6286
602.9771,0.0013500563,5.0893
602.9771,0.0013484816,4.8322
602.9771,0.001295353,5.0077833
602.9771,0.0012670308,5.8334333
602.9771,0.0012441112,5.78745
602.9771,0.0012430256,5.6557667
602.9771,0.0011883878,5.4592833
602.9771,0.0011744943,4.7694667
602.9771,0.0011693933,4.8071167
602.9771,0.0011675009,5.7268333
602.9771,0.0010658015,4.7841333
602.9771,0.0010338434,4.75065
602.9771,0.0010150809,5.5554333
602.9771,0.0010134702,5.7372833
602.9771,0.0010072917,4.8134
602.9771,0.00099312573,5.5826167
602.9771,0.00099041921,4.9973333
602.9771,0.00097199785,5.7393667
602.9771,0.00093475499,4.9994167
602.9771,0.00085395533,5.1018333
602.9771,0.00081621701,5.0307667
602.9771,0.00079643253,5.7080167
602.9771,0.00077463405,5.61815
602.9771,0.00076564068,5.777
602.9771,0.00074858954,5.7958
602.9771,0.00069474743,5.4760167
602.9771,0.00069469832,5.6515833
602.9771,0.00068518454,5.0245
602.9771,0.00059110425,5.0015
602.9771,0.00059056797,5.1436333
602.9771,0.00057830302,4.7485667
602.9771,0.00052018197,5.13945
602.9771,0.000516137,4.7339333
602.9771,0.00043600616,5.8250667
602.9771,0.00041528186,5.6704
602.9771,0.00036002293,5.6453167
602.9771,0.00029044923,5.8167
602.9771,0.00027135112,5.5449833
602.9771,0.00021684617,5.8961333
602.9771,0.00020068337,4.9764167
602.9771,0.00019927364,4.82385
602.9771,0.00017277802,5.6871167
602.9771,0.00010132557,5.2209667
602.9771,8.0054044e-05,5.5721667
602.9771,1.2024852e-05,5.8647833
602.9771,-3.17174e-07,5.8438833
602.9771,-6.195003e-06,5.89195
602.9771,-9.2662906e-05,4.7590167
602.9771,-0.00013591304,4.7443833
602.9771,-0.00013943714,4.8196667
602.9771,-0.00025575359,5.5429
602.9771,-0.00025766261,4.8301167
602.9771,-0.00026299125,5.7498167
602.9771,-0.00029744706,5.0495833
602.9771,-0.00029864459,4.8280167
602.9771,-0.0003471397,5.2418667
602.9771,-0.00035044836,4.7631833
602.9771,-0.00036013344,4.7464667
602.9771,-0.00043900834,5.6766667
602.9771,-0.00045846749,5.7247333
602.9771,-0.00047126807,5.8815
602.9771,-0.00047771409,4.7381
602.9771,-0.00055330924,5.0704833
602.9771,-0.00057173299,5.6913
602.9771,-0.00064578771,5.1540833
602.9771,-0.00065452701,5.2335167
602.9771,-0.00069831076,5.9003167
602.9771,-0.00072978492,6.08425
602.9771,-0.00076408013,5.0809333
602.9771,-0.00080155374,5.0579333
602.9771,-0.00084285108,5.6348667
602.9771,-0.0010073881,5.0433167
602.9771,-0.0010256337,5.91495
602.9771,-0.0011508374,5.63905
602.9771,-0.0011518015,5.6536667
602.9771,-0.001179651,4.7945833
602.9771,-0.0012577738,4.7924833
602.9771,-0.0012943441,4.77155
602.9771,-0.0013805072,5.7581833
602.9771,-0.0014100032,4.80085
602.9771,-0.0014537671,5.5261833
602.9771,-0.0015436849,6.0738
602.9771,-0.0015857883,5.7707167
602.9771,-0.0016066333,5.0056833
602.9771,-0.0017445872,5.5679833
602.9771,-0.001768238,5.0224
602.9771,-0.0017956757,5.6975667
602.9771,-0.0018323151,6.2891167
602.9771,-0.0018605732,5.152
602.9771,-0.0019294325,4.7234833
602.9771,-0.0019294944,5.6076833
602.9771,-0.001929788,4.7611
602.9771,-0.0019977394,5.59515
640.3459,-0.0013446496,4.1277833
640.3459,-0.0017445617,4.4914667
657.8271,0.0019893243,5.1645333
657.8271,0.0019669491,5.1540833
657.8271,0.0019185219,4.4789333
657.8271,0.0019093264,4.1486833
657.8271,0.0018779107,4.7339333
657.8271,0.0018249052,4.5855333
657.8271,0.0017822083,4.80295
657.8271,0.0017469277,4.3451667
657.8271,0.0016800077,4.3974167
